underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2016-06-01,VIX,2016-06-01,10,C,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,6,
^VIX,2016-06-02,VIX,2016-06-02,10,P,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,0,
^VIX,2016-06-03,VIX,2016-06-03,10.5,C,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,0,
^VIX,2016-06-04,VIX,2016-06-04,10.5,P,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,0,
^VIX,2016-06-05,VIX,2016-06-05,11,C,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,0,
^VIX,2016-06-06,VIX,2016-06-06,11,P,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,0,
^VIX,2016-06-07,VIX,2016-06-07,11.5,C,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,83,
^VIX,2016-06-08,VIX,2016-06-08,11.5,P,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,0,
^VIX,2016-06-09,VIX,2016-06-09,12,C,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,5,
^VIX,2016-06-10,VIX,2016-06-10,12,P,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,0,
^VIX,2016-06-11,VIX,2016-06-11,12.5,C,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,6,
^VIX,2016-06-12,VIX,2016-06-12,12.5,P,0,0,0,0,0,0,0,0,0,14.24,14.24,0,0,0,0,14.2,14.2,0,10,
